precinct,office,party_detailed,party_simplified,votes,county_name,county_fips,jurisdiction_name,candidate,year,stage,state,special,writein,date
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,4,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,REPUBLICAN,REPUBLICAN,539,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,DEMOCRATIC,DEMOCRAT,140,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-A,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,WE THE PEOPLE,OTHER,9,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-A,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,8,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,REPUBLICAN,REPUBLICAN,593,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
